"feature","coef"
"PC1",-0.070210066534391
"PC2",0.0188728991749136
"PC3",0
"PC4",0
"PC5",0
"PC6",-0.02191758976853
"PC7",-0.0228261186270834
"PC8",0
"PC9",0
"PC10",-0.0205284550051067
"PC11",0
"PC12",0
"PC13",0.03036502793489
"PC14",0
"PC15",0
"PC16",0
"PC17",0
"PC18",0
"PC19",0
"PC20",0.00294685728084881
"PC21",0
"PC22",0
"PC23",0
"PC24",-0.0238014584415379
"PC25",0
"PC26",0
"PC27",0
"PC28",0
"PC29",0
"PC30",0
"PC31",-0.024908079608158
"PC32",-0.00292832425334374
"PC33",0.00508615793249039
"PC34",-0.00831221588615405
"PC35",0
"PC36",0
"PC37",0
"PC38",0.00892405775820435
"PC39",0
"PC40",0
"PC41",0.0208863741259547
"PC42",-0.0287802905646272
"PC43",0
"PC44",0
"PC45",0
"PC46",0
"PC47",0
"PC48",0
"PC49",0
"PC50",-0.031574790443956
"PC51",0
"PC52",-0.00624986710861497
"PC53",0
"PC54",0.0312993051272374
"PC55",0
"PC56",0
"PC57",0
"PC58",0
"PC59",0
"PC60",0
"PC61",0.0157078750907914
"PC62",0.0277394700325631
"PC63",0
"PC64",0
"PC65",0
"PC66",-0.0942708424493215
"PC67",0.0655186635766725
"PC68",0
"PC69",-0.0184790229714329
"PC70",0.0348669436463047
"PC71",0
"PC72",0
"PC73",0
"PC74",0
"PC75",0
"PC76",0.0452626038132994
"PC77",0.0446129901220013
"PC78",0
"PC79",-0.062263185500233
"PC80",0
"PC81",0
"PC82",0.0885364195685966
"PC83",0
"PC84",0
"PC85",0
"PC86",-0.0446128781384712
"PC87",0
"PC88",0
"PC89",0.000762166268182364
"PC90",0
"PC91",0
"PC92",0.0242661419444477
"PC93",0.131359732688349
"PC94",-0.0976356984782145
"PC95",0
"PC96",0
"PC97",0
"PC98",0
"PC99",0
